key_resp_instr.keys,key_resp_instr.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_short.thisRepN,trials_short.thisTrialN,trials_short.thisN,trials_short.thisIndex,trials_short.ran,trials_short.order,Color0_r,Color0_g,Color0_b,Color45_r,Color45_g,Color45_b,Color90_r,Color90_g,Color90_b,Color135_r,Color135_g,Color135_b,Color180_r,Color180_g,Color180_b,Color225_r,Color225_g,Color225_b,Color270_r,Color270_g,Color270_b,Color315_r,Color315_g,Color315_b,Cueresp_r,Cueresp_g,Cueresp_b,target_angle,load,delay,trial,participant,date,expName,psychopyVersion,OS,frameRate
space,53.11100006,0.264756944,-0.183159722,1,0,0,69.421,1,0,16,5,1,15,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,315,3,1,5,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.255208333,0.219618056,1,0,0,77.15499997,1,0,16,2,1,15,1,-1,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,135,3,1,2,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.353298611,0.011284722,1,0,0,84.59200001,1,0,16,10,1,15,0,0,0,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,180,7,1,2,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.283854167,0.171875,1,0,0,92.34399986,1,0,16,12,1,15,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,0,0,1,-1,-1,135,7,1,4,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,0.346354167,0.051215278,1,0,0,99.77099991,1,0,16,3,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,1,0,3,1,3,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.006076389,0.394097222,1,0,0,107.5709999,1,0,16,7,1,15,0,0,0,0,0,0,-1,-1,1,1,1,-1,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,90,3,1,7,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.184895833,-0.276909722,1,0,0,115.135,1,0,16,9,1,15,0,0,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,315,7,1,1,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.300347222,0.199652778,1,0,0,122.6009998,1,0,16,4,1,15,0,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,135,3,1,4,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,0.252604167,0.229166667,1,0,0,129.839,1,0,16,14,1,15,-1,1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,45,7,1,6,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,0.346354167,0.020833333,1,0,0,137.0190001,1,0,16,6,1,15,-1,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,3,1,6,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
,,-0.173611111,0.2109375,1,0,0,144.033,1,0,16,11,1,15,1,1,-1,1,1,1,0,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,180,7,1,3,albert_prova,2021-04-09_16h07.53.387,task,3.2.3,Linux x86_64,60
